ID,Location,Latitude,Longitude,Habitat state,Habitat type,Dominant plant,Core depth,Soil carbon stock MgC_ha,Reference,Reference_detail
11,Yingluo bay3,"21°29'35.48""N","109°45'30.61""E",Natural,mangrove,R. stylosa,60-90,593.4,Liu et al. 2014 ,"Liu, H., Ren, H., Hui, D., Wang, W., Liao, B., & Cao, Q., 2014. Carbon stocks and potential carbon storage in the mangrove forests of China. Journal of Environmental Management, 133 (Complete), 86-93."
12,Yingluo bay4,"21°29'35.48""N","109°45'30.61""E",Natural,mangrove,R. stylosa,90-120,518.4,Liu et al. 2017 ,"Liu, J. E., Han, R. M., Su, H. R., Wu, Y. P., Zhang, L. M., & Richardson, C. J., et al., 2017. Effects of exotic spartina alterniflora, on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
13,Jiulong River Estuary2,"24°27'42.13""N","118° 2'43.56""E",Natural,mangrove,K. candel,0-20,346.68,Liu et al. 2017 ,"Liu, J. E., Han, R. M., Su, H. R., Wu, Y. P., Zhang, L. M., & Richardson, C. J., et al., 2017. Effects of exotic spartina alterniflora, on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
14,Futian Shenzhen,"22°31'27.59""N","113°59'33.04""E",Natural,mangrove,K. candel,0-50,602.88,Liu et al. 2017 ,"Liu, J. E., Han, R. M., Su, H. R., Wu, Y. P., Zhang, L. M., & Richardson, C. J., et al., 2017. Effects of exotic spartina alterniflora, on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
15,Gaoqiao ,"31°23'3.32""N","121°31'19.56""E",Natural,mangrove,R. stylosa+K. candel,0-100,260.14,Liu et al. 2017 ,"Liu, J. E., Han, R. M., Su, H. R., Wu, Y. P., Zhang, L. M., & Richardson, C. J., et al., 2017. Effects of exotic spartina alterniflora, on vertical soil organic carbon distribution and storage amount in coastal salt marshes in Jiangsu, China. Ecological Engineering, 106, 132-139."
16,Dongzhai Harbor1,"19°59'41.17""N","110°32'37.90""E",Natural,mangrove,R. stylosa+K. candel,0-100,311.17,missing ref,NA
17,Dongzhai Harbor2,"19°59'41.17""N","110°32'37.90""E",Natural,mangrove,R. stylosa+A. marina,0-100,246.37,missing ref,NA
18,Qinglan Harbor,"19°33'35.33""N","110°50'10.99""E",Natural,mangrove,S. caseolares ,0-100,492.76,missing ref,NA
19,Xinyanggang Estuary1,"33°36'5.14""N","120°37'52.66""E",Natural,salt marsh,Mudflat,0-100,244,missing ref,NA
20,Xinyanggang Estuary2,"33°35'45.80""N","120°36'6.72""E",Natural,salt marsh,S. alterniflora,0-100,352,missing ref,NA
21,Xinyanggang Estuary3,"33°35'10.00""N","120°33'58.59""E",Natural,salt marsh,Suaeda salsa,0-100,210,missing ref,NA
22,Xinyanggang Estuary4,"33°35'48.97""N","120°31'24.66""E",Natural,salt marsh,Grass flat,0-100,338,missing ref,NA
23,laizhou bay1,38°03'23.08''N,118°55'01.72''E,degraded,salt marsh,bare land,0-30,54.21,missing ref,NA
