"","Source","Original_source","Site_name","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","Year_collected_end","Method","DOI"
"74","Xia et al 2022","Xia et al 2022","SX  Duliujian River  8"," Duliujian River  8","Saltmarsh","38.7511","117.4513","direct from dataset","1","China","Tianjin","2015",0.6,0.8,"3.70 ","0.48 ","1.69 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"75","Xia et al 2022","Xia et al 2022","SX  Duliujian River  8"," Duliujian River  8","Saltmarsh","38.7511","117.4513","direct from dataset","1","China","Tianjin","2015",0.8,1,"3.90 ","0.51 ","1.68 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"76","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0,0.1,"5.24 ","0.63 ","1.61 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"77","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.1,0.2,"4.80 ","0.64 ","1.78 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"78","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.2,0.3,"5.14 ","0.52 ","1.72 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"79","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.3,0.4,"4.88 ","0.58 ","1.76 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"80","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.4,0.6,"5.30 ","0.55 ","1.63 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"81","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.6,0.8,"5.27 ","0.62 ","1.63 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"82","Xia et al 2022","Xia et al 2022","SX  Duliujian River  9"," Duliujian River  9","Saltmarsh","38.7481","117.4605","direct from dataset","1","China","Tianjin","2015",0.8,1,"4.89 ","0.50 ","1.65 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"83","Xia et al 2022","Xia et al 2022","SX Beihai 2","Beihai 2","Saltmarsh","21.4667","109.4667","direct from dataset","1","China","Guangxi","2015",0,0.1,"13.08 ","1.51 ","0.76 ","2019","EA","https://doi.org/10.1111/gcb.16325"
